Id,Singer,Song,Movie Name,Year,Hyperlink,Rating
1,A. R. Rahman,Aaruyire,Guru,2007,https://en.wikipedia.org/wiki/A._R._Rahman,8
1,A. R. Rahman,Aiyayo Kanava,Rangeela,1995,https://en.wikipedia.org/wiki/A._R._Rahman,5
1,A. R. Rahman,Antha Arabikadal,Bombay,1995,https://en.wikipedia.org/wiki/A._R._Rahman,7
1,A. R. Rahman,Athiradee,Sivaji,2007,https://en.wikipedia.org/wiki/A._R._Rahman,6
1,A. R. Rahman,Bigil Bigil Bigiluma,Bigil,2019,https://en.wikipedia.org/wiki/A._R._Rahman,9
1,A. R. Rahman,Boom Boom,Boys,2003,https://en.wikipedia.org/wiki/A._R._Rahman,2
1,A. R. Rahman,Chinna Chinna,Roja,1992,https://en.wikipedia.org/wiki/A._R._Rahman,7
1,A. R. Rahman,Columbus Columbus,Jeans,1998,https://en.wikipedia.org/wiki/A._R._Rahman,3
1,A. R. Rahman,Elay Keechaan,Kadal,2013,https://en.wikipedia.org/wiki/A._R._Rahman,8
1,A. R. Rahman,Ellapp puazhum Oruvan,Azhagiya Tamil Magan,2007,https://en.wikipedia.org/wiki/A._R._Rahman,10
1,A. R. Rahman,Endendrum Punnagai,Alaipayuthey,2000,https://en.wikipedia.org/wiki/A._R._Rahman,5
1,A. R. Rahman,Ey Manpuru Maange,Guru,2007,https://en.wikipedia.org/wiki/A._R._Rahman,9
1,A. R. Rahman,I Love My Africa,Mariyaan,2012,https://en.wikipedia.org/wiki/A._R._Rahman,4
1,A. R. Rahman,Indiane Vaa,Lingaa,2014,https://en.wikipedia.org/wiki/A._R._Rahman,7
1,A. R. Rahman,Iru Pookal,Uyirae,1998,https://en.wikipedia.org/wiki/A._R._Rahman,6
1,A. R. Rahman,Irumbile oru Irudhaiyam,Enthiran,2010,https://en.wikipedia.org/wiki/A._R._Rahman,8
1,A. R. Rahman,Kalluri Salai,Kadhal Desam,1996,https://en.wikipedia.org/wiki/A._R._Rahman,2
1,A. R. Rahman,Karma Veeran,Kochadaiyaan,2014,https://en.wikipedia.org/wiki/A._R._Rahman,4
1,A. R. Rahman,Malargal Kaettaen,O Kadhal Kanmani,2015,https://en.wikipedia.org/wiki/A._R._Rahman,9
1,A. R. Rahman,Mannipaaya,Vinnaithaandi Varuvaayaa,2010,https://en.wikipedia.org/wiki/A._R._Rahman,10
1,A. R. Rahman,Musthafa Musthafa,Kadhal Desam,1996,https://en.wikipedia.org/wiki/A._R._Rahman,7
1,A. R. Rahman,Neethaaney Neethaaney,Mersal,2017,https://en.wikipedia.org/wiki/A._R._Rahman,5
1,A. R. Rahman,Nenje ezhu nenje,Mariyaan,2012,https://en.wikipedia.org/wiki/A._R._Rahman,9
1,A. R. Rahman,Nenjukulla omma,Kadal,2013,https://en.wikipedia.org/wiki/A._R._Rahman,5
1,A. R. Rahman,No Problem,Love Birds,1996,https://en.wikipedia.org/wiki/A._R._Rahman,8
1,A. R. Rahman,Oru Viral Puratchi,Sarkar,2018,https://en.wikipedia.org/wiki/A._R._Rahman,6
1,A. R. Rahman,Pudhiya Manidha,Enthiran,2010,https://en.wikipedia.org/wiki/A._R._Rahman,2
1,A. R. Rahman,Singa Penne,Bigil,2019,https://en.wikipedia.org/wiki/A._R._Rahman,7
1,A. R. Rahman,Theera Ulaa,O Kadhal Kanmani,2015,https://en.wikipedia.org/wiki/A._R._Rahman,10
1,A. R. Rahman,Urvasi Urvasi,Kadhalan,1994,https://en.wikipedia.org/wiki/A._R._Rahman,6
1,A. R. Rahman,Vellai Pookal,Kannathil Muthamittal,2002,https://en.wikipedia.org/wiki/A._R._Rahman,5
1,A. R. Rahman,Yaakkai Thiru,Aaytha Ezhuthu,2004,https://en.wikipedia.org/wiki/A._R._Rahman,9
2,A. V. Pooja,Aalaporan Tamizhan,Mersal,2017,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,10
2,A. V. Pooja,Annamae,Annakodiyum Kodiveeranum,2013,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,4
2,A. V. Pooja,Kanaave Kanaave,Ambikapathy,2013,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,9
2,A. V. Pooja,Mosale Mosale,Yennamo Yedho,2014,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,10
2,A. V. Pooja,Nariga Uranga,Annakodiyum Kodiveeranum,2013,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,5
2,A. V. Pooja,Nenjankuzhi,Naveena Saraswathi Sabatham,2013,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,8
2,A. V. Pooja,Paarkathe Paarkathe,Varuthapadatha Valibar Sangam,2013,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,3
2,A. V. Pooja,Thalapathy Thalapathy,Thalaivaa,2013,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,9
2,A. V. Pooja,Unnaal Unnaal,Ambikapathy,2013,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,5
2,A. V. Pooja,Yedhukkaga Enna,Rummy,2014,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,7
2,A. V. Pooja,eppa Maama Treatu,Jilla,2014,https://en.wikipedia.org/wiki/Pooja_Vaidyanath,4
2,A. V. Pooja,En Pulse Yethitu Poriye,Kavalai Vendam,2016,https://en.wikipedia.org/wiki/Dinesh_Kanagaratnam,8
2,A. V. Pooja,Kaara Attakkaara,O Kadhal Kanmani,2015,https://en.wikipedia.org/wiki/Dinesh_Kanagaratnam,6
2,A. V. Pooja,Oh Nanba Nanba,Lingaa,2014,https://en.wikipedia.org/wiki/Dinesh_Kanagaratnam,10
2,A. V. Pooja,Oru Sinna Thamarai,Vettaikaaran,2009,https://en.wikipedia.org/wiki/Dinesh_Kanagaratnam,5
2,A. V. Pooja,Rockstar Robber,Sindhubaadh,2019,https://en.wikipedia.org/wiki/Dinesh_Kanagaratnam,9
2,A. V. Pooja,Universal Cop,Bogan,2017,https://en.wikipedia.org/wiki/Dinesh_Kanagaratnam,7
3,Andrea Jeremiah,Alay Paayum,Irumbu Kuthirai,2014,https://en.wikipedia.org/wiki/Andrea_Jeremiah,4
3,Andrea Jeremiah,Dakalti,Trisha Illana Nayanthara,2015,https://en.wikipedia.org/wiki/Andrea_Jeremiah,3
3,Andrea Jeremiah,Dhaadikaara,Sketch,2018,https://en.wikipedia.org/wiki/Andrea_Jeremiah,6
3,Andrea Jeremiah,Ek Do Theen,Anjaan,2014,https://en.wikipedia.org/wiki/Andrea_Jeremiah,9
3,Andrea Jeremiah,En Pulse Yethitu Poriye,Kavalai Vendam,2016,https://en.wikipedia.org/wiki/Andrea_Jeremiah,4
3,Andrea Jeremiah,Ennakaaga Unnakaaga,Kadhal 2 Kalyanam,2011,https://en.wikipedia.org/wiki/Andrea_Jeremiah,8
3,Andrea Jeremiah,Hey Vaasam Mocha,Vaalu,2014,https://en.wikipedia.org/wiki/Andrea_Jeremiah,5
3,Andrea Jeremiah,Idhu Varai,Goa,2010,https://en.wikipedia.org/wiki/Andrea_Jeremiah,10
3,Andrea Jeremiah,Kannum Kannum,Anniyan,2005,https://en.wikipedia.org/wiki/Andrea_Jeremiah,6
3,Andrea Jeremiah,Kathalikka Pennoruthi,Vedi,2011,https://en.wikipedia.org/wiki/Andrea_Jeremiah,9
3,Andrea Jeremiah,Low Aana Life-u,Vadacurry,2014,https://en.wikipedia.org/wiki/Andrea_Jeremiah,4
3,Andrea Jeremiah,Nee Sunno New Moono,Nanbenda,2015,https://en.wikipedia.org/wiki/Andrea_Jeremiah,10
3,Andrea Jeremiah,Oh! Baby Oh! Baby,Yaaradi Nee Mohini,2008,https://en.wikipedia.org/wiki/Andrea_Jeremiah,7
3,Andrea Jeremiah,Oru Murai,Muppozhudhum Un Karpanaigal,2012,https://en.wikipedia.org/wiki/Andrea_Jeremiah,5
3,Andrea Jeremiah,Oru Vaanam Thandiye,100% Kadhal,2019,https://en.wikipedia.org/wiki/Andrea_Jeremiah,9
3,Andrea Jeremiah,Pookal Pookum,Madrasapattinam,2010,https://en.wikipedia.org/wiki/Andrea_Jeremiah,6
3,Andrea Jeremiah,Who is The Hero,Manmadan Ambu,2010,https://en.wikipedia.org/wiki/Andrea_Jeremiah,5
3,Andrea Jeremiah,Yelelo,Marina,2012,https://en.wikipedia.org/wiki/Andrea_Jeremiah,10
3,Andrea Jeremiah,Yeno Yeno Panithuli,Aadhavan,2009,https://en.wikipedia.org/wiki/Andrea_Jeremiah,8
4,Anirudh Ravichander,Aaluma Dholuma,Vedhalam,2015,https://en.wikipedia.org/wiki/Anirudh_Ravichander,6
4,Anirudh Ravichander,Damaalu Dumeelu,Bogan,2017,https://en.wikipedia.org/wiki/Anirudh_Ravichander,9
4,Anirudh Ravichander,Dandanakka,Romeo Juliet,2015,https://en.wikipedia.org/wiki/Anirudh_Ravichander,5
4,Anirudh Ravichander,Edhukku Machan Kadhalu,Mapla Singam,2015,https://en.wikipedia.org/wiki/Anirudh_Ravichander,10
4,Anirudh Ravichander,Engae Endru Povathu,Thaanaa Serndha Koottam,2018,https://en.wikipedia.org/wiki/Anirudh_Ravichander,4
4,Anirudh Ravichander,Friendship Anthem,Oh My Kadavule,2020,https://en.wikipedia.org/wiki/Anirudh_Ravichander,5
4,Anirudh Ravichander,Hey Vaasam Mocha,Vaalu,2014,https://en.wikipedia.org/wiki/Anirudh_Ravichander,7
4,Anirudh Ravichander,I am So Cool,Kakki Sattai,2015,https://en.wikipedia.org/wiki/Anirudh_Ravichander,8
4,Anirudh Ravichander,Idhayane,Velaikkaran,2017,https://en.wikipedia.org/wiki/Anirudh_Ravichander,2
4,Anirudh Ravichander,Ilamai Thirumbuthe,Petta,2019,https://en.wikipedia.org/wiki/Anirudh_Ravichander,7
4,Anirudh Ravichander,Iraiva,Velaikkaran,2017,https://en.wikipedia.org/wiki/Anirudh_Ravichander,6
4,Anirudh Ravichander,Ithazhin Oram,3,2012,https://en.wikipedia.org/wiki/Anirudh_Ravichander,9
4,Anirudh Ravichander,Jigidi Killaadi,Pattas,2020,https://en.wikipedia.org/wiki/Anirudh_Ravichander,8
4,Anirudh Ravichander,Kaantha Kannalaki,Namma Veettu Pillai,2019,https://en.wikipedia.org/wiki/Anirudh_Ravichander,3
4,Anirudh Ravichander,Kadhal Kan Kattudhe,Kakki Sattai,2018,https://en.wikipedia.org/wiki/Anirudh_Ravichander,5
4,Anirudh Ravichander,Kadhal Saiko,Saaho,2019,https://en.wikipedia.org/wiki/Anirudh_Ravichander,7
4,Anirudh Ravichander,Kalyaana Vayasu,Kolamavu Kokila,2018,https://en.wikipedia.org/wiki/Anirudh_Ravichander,1
4,Anirudh Ravichander,Kannamma,Ispade Rajavum Idhaya Raniyum,2019,https://en.wikipedia.org/wiki/Anirudh_Ravichander,9
4,Anirudh Ravichander,Kanne Kanne,Ayogya,2019,https://en.wikipedia.org/wiki/Anirudh_Ravichander,5
4,Anirudh Ravichander,Karuthavanlaam Galeejam,Velaikkaran,2017,https://en.wikipedia.org/wiki/Anirudh_Ravichander,7
4,Anirudh Ravichander,Kutti Story,Master,2020,https://en.wikipedia.org/wiki/Anirudh_Ravichander,8
5,Chinmayi,Aaruyire,Guru,2007,https://en.wikipedia.org/wiki/Chinmayi,10
5,Chinmayi,Adiye Aavarangaatukulla,Annakodiyum Kodiveeranum,2013,https://en.wikipedia.org/wiki/Chinmayi,5
5,Chinmayi,Aiythaaney,Mudhal Idam,2011,https://en.wikipedia.org/wiki/Chinmayi,1
5,Chinmayi,Akila Akila,Oru Kal Oru Kannadi,2012,https://en.wikipedia.org/wiki/Chinmayi,6
5,Chinmayi,Amali Thumali Neliyum,Ko,2011,https://en.wikipedia.org/wiki/Chinmayi,8
5,Chinmayi,Anbil Avan,Vinnaithaandi Varuvaayaa,2010,https://en.wikipedia.org/wiki/Chinmayi,4
5,Chinmayi,Anthaathi,96,2018,https://en.wikipedia.org/wiki/Chinmayi,2
5,Chinmayi,Asku Laska,Nanban,2012,https://en.wikipedia.org/wiki/Chinmayi,9
5,Chinmayi,Chinnamma,Sakkarakatti,2008,https://en.wikipedia.org/wiki/Chinmayi,8
5,Chinmayi,Chotta Chotta,Engeyum Eppothum,2011,https://en.wikipedia.org/wiki/Chinmayi,5
5,Chinmayi,Eathum Sollama,Thaakka Thaakka,2015,https://en.wikipedia.org/wiki/Chinmayi,2
5,Chinmayi,En Uyir,Ra.One,2011,https://en.wikipedia.org/wiki/Chinmayi,10
5,Chinmayi,Endha Pakkam,Dharma Durai,2016,https://en.wikipedia.org/wiki/Chinmayi,6
